stream_size,num_threads,duration,ops_per_sec
100000,2,0.1353,738993.25
100000,4,0.1093,914518.95
100000,8,0.1279,781781.38
100000,12,0.1769,565332.56
100000,16,0.1737,575715.20
100000,24,0.1888,529680.81
100000,32,0.1753,570603.92
100000,48,0.1846,541805.94
500000,2,0.6371,784796.48
500000,4,0.4759,1050638.93
500000,8,0.5225,956859.14
500000,12,0.9367,533763.64
500000,16,0.9116,548486.68
500000,24,1.0682,468057.87
500000,32,1.0005,499763.60
500000,48,1.0892,459047.89
1000000,2,1.3558,737562.62
1000000,4,1.0230,977510.50
1000000,8,1.0218,978707.31
1000000,12,2.1449,466212.86
1000000,16,2.1318,469085.18
1000000,24,2.0760,481691.65
1000000,32,2.1248,470642.04
1000000,48,2.0829,480100.51
5000000,2,6.7478,740980.92
5000000,4,5.4726,913646.53
5000000,8,5.6152,890434.67
5000000,12,10.0003,499984.46
5000000,16,10.2518,487719.05
5000000,24,10.3752,481916.65
5000000,32,10.7496,465133.40
5000000,48,10.7378,465645.39
10000000,2,13.1371,761203.88
10000000,4,10.5690,946161.96
10000000,8,11.3874,878165.52
10000000,12,19.6426,509096.33
10000000,16,20.6864,483409.34
10000000,24,21.4590,466005.57
10000000,32,21.2906,469689.79
10000000,48,21.8815,457006.04
25000000,2,33.3763,749033.73
25000000,4,25.8562,966885.60
25000000,8,28.4198,879668.99
25000000,12,48.0354,520449.54
25000000,16,52.7486,473946.65
25000000,24,53.6269,466183.58
25000000,32,53.1960,469960.09
25000000,48,51.7877,482740.38
50000000,2,68.3274,731771.08
50000000,4,50.8597,983095.94
50000000,8,57.9833,862317.74
50000000,12,94.2041,530762.23
50000000,16,103.5654,482786.60
50000000,24,107.9696,463093.22
50000000,32,104.6402,477827.75
50000000,48,102.6083,487289.94